t,x1,y1,z1,x2,y2,z2,x3,y3,z3
147,26593915.780150466,568896.7202089655,0.0,-568896.7202089655,26593915.780150466,0.0,0.0,-568896.7202089655,26593915.780150466
148,26593832.723299343,572766.1697180015,0.0,-572766.1697180015,26593832.723299343,0.0,0.0,-572766.1697180015,26593832.723299343
149,26593749.103438262,576635.6071011788,0.0,-576635.6071011788,26593749.103438262,0.0,0.0,-576635.6071011788,26593749.103438262
150,26593664.920568995,580505.0322765788,0.0,-580505.0322765788,26593664.920568995,0.0,0.0,-580505.0322765788,26593664.920568995
151,26593580.17469332,584374.445162283,0.0,-584374.445162283,26593580.17469332,0.0,0.0,-584374.445162283,26593580.17469332
152,26593494.865813036,588243.8456763732,0.0,-588243.8456763732,26593494.865813036,0.0,0.0,-588243.8456763732,26593494.865813036
153,26593408.993929945,592113.2337369316,0.0,-592113.2337369316,26593408.993929945,0.0,0.0,-592113.2337369316,26593408.993929945
154,26593322.559045866,595982.6092620405,0.0,-595982.6092620405,26593322.559045866,0.0,0.0,-595982.6092620405,26593322.559045866
155,26593235.56116263,599851.9721697825,0.0,-599851.9721697825,26593235.56116263,0.0,0.0,-599851.9721697825,26593235.56116263
156,26593148.000282075,603721.3223782405,0.0,-603721.3223782405,26593148.000282075,0.0,0.0,-603721.3223782405,26593148.000282075
157,26593059.87640606,607590.6598054977,0.0,-607590.6598054977,26593059.87640606,0.0,0.0,-607590.6598054977,26593059.87640606
158,26592971.189536445,611459.9843696376,0.0,-611459.9843696376,26592971.189536445,0.0,0.0,-611459.9843696376,26592971.189536445
159,26592881.93967511,615329.2959887437,0.0,-615329.2959887437,26592881.93967511,0.0,0.0,-615329.2959887437,26592881.93967511
160,26592792.126823947,619198.5945809,0.0,-619198.5945809,26592792.126823947,0.0,0.0,-619198.5945809,26592792.126823947
161,26592701.750984855,623067.880064191,0.0,-623067.880064191,26592701.750984855,0.0,0.0,-623067.880064191,26592701.750984855
162,26592610.812159747,626937.152356701,0.0,-626937.152356701,26592610.812159747,0.0,0.0,-626937.152356701,26592610.812159747
163,26592519.31035055,630806.4113765148,0.0,-630806.4113765148,26592519.31035055,0.0,0.0,-630806.4113765148,26592519.31035055
164,26592427.245559197,634675.6570417177,0.0,-634675.6570417177,26592427.245559197,0.0,0.0,-634675.6570417177,26592427.245559197
165,26592334.617787644,638544.8892703949,0.0,-638544.8892703949,26592334.617787644,0.0,0.0,-638544.8892703949,26592334.617787644
166,26592241.427037846,642414.1079806322,0.0,-642414.1079806322,26592241.427037846,0.0,0.0,-642414.1079806322,26592241.427037846
167,26592147.67331178,646283.3130905154,0.0,-646283.3130905154,26592147.67331178,0.0,0.0,-646283.3130905154,26592147.67331178
168,26592053.35661143,650152.5045181308,0.0,-650152.5045181308,26592053.35661143,0.0,0.0,-650152.5045181308,26592053.35661143
169,26591958.47693879,654021.6821815649,0.0,-654021.6821815649,26591958.47693879,0.0,0.0,-654021.6821815649,26591958.47693879
170,26591863.03429587,657890.8459989046,0.0,-657890.8459989046,26591863.03429587,0.0,0.0,-657890.8459989046,26591863.03429587
171,26591767.028684694,661759.9958882368,0.0,-661759.9958882368,26591767.028684694,0.0,0.0,-661759.9958882368,26591767.028684694
172,26591670.46010729,665629.1317676491,0.0,-665629.1317676491,26591670.46010729,0.0,0.0,-665629.1317676491,26591670.46010729
173,26591573.3285657,669498.2535552292,0.0,-669498.2535552292,26591573.3285657,0.0,0.0,-669498.2535552292,26591573.3285657
174,26591475.63406199,673367.361169065,0.0,-673367.361169065,26591475.63406199,0.0,0.0,-673367.361169065,26591475.63406199
175,26591377.37659822,677236.4545272448,0.0,-677236.4545272448,26591377.37659822,0.0,0.0,-677236.4545272448,26591377.37659822
176,26591278.556176472,681105.5335478572,0.0,-681105.5335478572,26591278.556176472,0.0,0.0,-681105.5335478572,26591278.556176472
177,26591179.172798842,684974.5981489911,0.0,-684974.5981489911,26591179.172798842,0.0,0.0,-684974.5981489911,26591179.172798842
178,26591079.22646743,688843.6482487358,0.0,-688843.6482487358,26591079.22646743,0.0,0.0,-688843.6482487358,26591079.22646743
179,26590978.717184354,692712.6837651808,0.0,-692712.6837651808,26590978.717184354,0.0,0.0,-692712.6837651808,26590978.717184354
180,26590877.64495174,696581.7046164158,0.0,-696581.7046164158,26590877.64495174,0.0,0.0,-696581.7046164158,26590877.64495174
181,26590776.009771727,700450.7107205311,0.0,-700450.7107205311,26590776.009771727,0.0,0.0,-700450.7107205311,26590776.009771727
182,26590673.81164647,704319.701995617,0.0,-704319.701995617,26590673.81164647,0.0,0.0,-704319.701995617,26590673.81164647
183,26590571.05057813,708188.6783597644,0.0,-708188.6783597644,26590571.05057813,0.0,0.0,-708188.6783597644,26590571.05057813
184,26590467.72656888,712057.6397310642,0.0,-712057.6397310642,26590467.72656888,0.0,0.0,-712057.6397310642,26590467.72656888
185,26590363.839620914,715926.5860276079,0.0,-715926.5860276079,26590363.839620914,0.0,0.0,-715926.5860276079,26590363.839620914
186,26590259.38973643,719795.5171674873,0.0,-719795.5171674873,26590259.38973643,0.0,0.0,-719795.5171674873,26590259.38973643
187,26590154.376917634,723664.4330687943,0.0,-723664.4330687943,26590154.376917634,0.0,0.0,-723664.4330687943,26590154.376917634
188,26590048.801166754,727533.3336496213,0.0,-727533.3336496213,26590048.801166754,0.0,0.0,-727533.3336496213,26590048.801166754
189,26589942.662486024,731402.218828061,0.0,-731402.218828061,26589942.662486024,0.0,0.0,-731402.218828061,26589942.662486024
190,26589835.96087769,735271.0885222063,0.0,-735271.0885222063,26589835.96087769,0.0,0.0,-735271.0885222063,26589835.96087769
191,26589728.69634401,739139.9426501506,0.0,-739139.9426501506,26589728.69634401,0.0,0.0,-739139.9426501506,26589728.69634401
192,26589620.868887257,743008.7811299877,0.0,-743008.7811299877,26589620.868887257,0.0,0.0,-743008.7811299877,26589620.868887257
193,26589512.478509713,746877.6038798114,0.0,-746877.6038798114,26589512.478509713,0.0,0.0,-746877.6038798114,26589512.478509713
194,26589403.525213674,750746.410817716,0.0,-750746.410817716,26589403.525213674,0.0,0.0,-750746.410817716,26589403.525213674
195,26589294.009001445,754615.2018617964,0.0,-754615.2018617964,26589294.009001445,0.0,0.0,-754615.2018617964,26589294.009001445
196,26589183.929875344,758483.9769301475,0.0,-758483.9769301475,26589183.929875344,0.0,0.0,-758483.9769301475,26589183.929875344
